id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,SC,"After 3 years of marriage, the couple had their first child",https://img.upanh.tv/2023/08/24/Con-dau-long-1-2.jpg,https://img.upanh.tv/2023/08/24/Con-dau-long-1.jpg,0,30,1,1,0,0,Family secrets revealed
2,SC,"After 4 years together, the husband discovered that the first child was the neighbor's son",https://img.upanh.tv/2023/08/24/Con-dau-long-3.jpg,0,https://img.upanh.tv/2023/08/24/Con-dau-long-3-1.jpg,35,1,0,0,1,Childhood trauma
3,SC,"After giving birth to her first child, the husband discovered that he was infertile",https://raw.githubusercontent.com/spiderdassness/anh_raw/3d034b89f67c45a071bb0395927d7ff8b4bc6605/condau.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/3d034b89f67c45a071bb0395927d7ff8b4bc6605/condau_n.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/3d034b89f67c45a071bb0395927d7ff8b4bc6605/condau_a.png,39,1,1,2,0,Marriage breakdown
4,SC,The wife is always angry with her husband for no reason after giving birth to the first child,https://img.upanh.tv/2023/08/24/Con-dau-long-4.jpg,0,https://img.upanh.tv/2023/08/24/Con-dau-long-4-1.jpg,30,0,1,1,1,Parental love tested
5,SC,"While pregnant with her first child, the wife discovered that her husband had an affair and had a child of his own",https://raw.githubusercontent.com/spiderdassness/anh_raw/2146f8543459646022ce9d295022c02adff630ba/bau.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/2146f8543459646022ce9d295022c02adff630ba/bau.jpg,0,28,0,2,1,0,Love triangles
6,SC,The husband wants a divorce from his wife because the first child born is a girl,https://img.upanh.tv/2023/08/24/Con-dau-long-5.jpg,https://img.upanh.tv/2023/08/24/Con-dau-long-5-2.jpg,0,30,0,2,0,1,Family feuds
7,SC,Mother forces her son to marry a girl because she is pregnant with his first child,https://raw.githubusercontent.com/spiderdassness/anh_raw/6904d470764697099bb267ab88cb952614366d50/mang_bau.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/6904d470764697099bb267ab88cb952614366d50/mang_bau.png,0,30,NULL,1,0,0,Adoption and family ties
8,SC,The wife is despised by her husband's family because she is a girl at birth,https://img.upanh.tv/2023/08/24/Con-dau-long-6.jpg,https://img.upanh.tv/2023/08/24/Con-dau-long-6-2.jpg,https://img.upanh.tv/2023/08/24/Con-dau-long-6-1.jpg,32,NULL,1,0,1,Childhood abandonment
9,SC,"After 23 years of abandoning her first child, the son returned to take revenge on the mother who abandoned him",https://raw.githubusercontent.com/spiderdassness/anh_raw/8b09da23382600b938ca70a32af6b256b99cd9a2/mon_1.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/8b09da23382600b938ca70a32af6b256b99cd9a2/mon_1.png,0,45,NULL,2,1,0,Revenge and redemption
10,SC,"Although divorced, the mother-in-law still tries to rob her first grandson",https://img.upanh.tv/2023/08/24/Sinh-con-dau-long-7.jpg,https://img.upanh.tv/2023/08/24/Con-dau-long-7-1.jpg,https://img.upanh.tv/2023/08/24/Con-dau-long-7-2.jpg,30,NULL,1,0,0,Love and loss
11,SC,"Divorced for 5 years, the husband meets his wife again and discovers that she has a 5-year-old child",https://raw.githubusercontent.com/spiderdassness/anh_raw/6b84a1b70ce70f858639f22d20cb0705f499a98f/couples.jpeg,https://raw.githubusercontent.com/spiderdassness/anh_raw/6b84a1b70ce70f858639f22d20cb0705f499a98f/couples_n.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/6b84a1b70ce70f858639f22d20cb0705f499a98f/couples_a.jpg,35,1,1,2,0,Parental deception
12,SC,"Once, the wife found out that her only child was swapped with her best friend",https://img.upanh.tv/2023/08/24/Con-dau-long-9.jpg,https://img.upanh.tv/2023/08/24/Con-dau-long-9-2.jpg,https://img.upanh.tv/2023/08/24/Con-dau-long-9-1.jpg,35,NULL,1,0,1,Childhood identity theft
13,SC,The girl discovered that the neighbor's only child had many similarities with her husband,https://raw.githubusercontent.com/spiderdassness/anh_raw/120e511ad2862588b90ea9cf3182e4e901dd2997/parents.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/120e511ad2862588b90ea9cf3182e4e901dd2997/parents_n.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/120e511ad2862588b90ea9cf3182e4e901dd2997/parents_a.jpg,45,1,1,2,0,Genetics reveal shocking truth
14,SC,"The wife received a huge fortune from her husband's family when she gave birth to her first child, a boy",https://raw.githubusercontent.com/spiderdassness/anh_raw/b93a5e8b77197ec64783198acbbe27be6d88978c/Gally.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/b93a5e8b77197ec64783198acbbe27be6d88978c/Gally_n.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/b93a5e8b77197ec64783198acbbe27be6d88978c/Gally_a.jpg,35,1,1,1,1,Inheritance dispute
15,SC,"The first child was born and thrown away, growing up now accidentally works at the mother's company",https://img.upanh.tv/2023/08/24/Sinh-con-dau-long-2.jpg,https://img.upanh.tv/2023/08/24/Sinh-con-dau-long-2-1.jpg,0,30,NULL,1,0,0,Chance encounter leads to love
16,SC,The newly born and abandoned child is now the lover of her current biological daughter,,0,0,28,1,1,0,0,Family secrets come to light
17,SC,My only child fell in love with the enemy's daughter,,0,0,30,1,1,0,0,Love across enemy lines
